strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
average,1,2025-06-02,2025-07-02,31,31,EICHERMOT,63.0,0.11300448430493273,99994.425,11299.818430493273,10722.0,5361.0,5722.5,0,2,2,0.06743144935646339
average,1,2025-06-02,2025-07-02,31,31,TITAN,58.5,0.10493273542600896,99994.425,10492.688542600896,7051.0,3525.5,3708.0,0,2,2,0.05176570699191596
average,1,2025-06-02,2025-07-02,31,31,SHRIRAMFIN,58.0,0.10403587443946188,99994.425,10403.00744394619,10280.8,642.55,676.9,0,16,16,0.053458874795735856
average,1,2025-06-02,2025-07-02,31,31,APOLLOHOSP,57.5,0.1031390134529148,99994.425,10313.326345291482,6915.5,6915.5,7441.0,0,1,1,0.0759887209890826
average,1,2025-06-02,2025-07-02,31,31,HINDALCO,56.5,0.10134529147982063,99994.425,10133.964147982064,10097.6,631.1,698.35,0,16,16,0.10655997464744105
average,1,2025-06-02,2025-07-02,31,31,GRASIM,55.0,0.09865470852017937,99994.425,9864.920852017936,7572.299999999999,2524.1,2849.8,0,3,3,0.12903609207242206
average,1,2025-06-02,2025-07-02,31,31,SBIN,53.5,0.09596412556053811,99994.425,9595.877556053812,8950.15,813.65,812.9,0,11,11,-0.0009217722608001466
average,1,2025-06-02,2025-07-02,31,31,TATASTEEL,53.0,0.09506726457399103,99994.425,9506.196457399104,9383.359999999999,159.04,165.88,0,59,59,0.043008048289738365
average,1,2025-06-02,2025-07-02,31,31,JSWSTEEL,51.5,0.09237668161434978,99994.425,9237.153161434979,8809.199999999999,978.8,1059.9,0,9,9,0.08285655905190037
average,1,2025-06-02,2025-07-02,31,31,ASIANPAINT,51.0,0.09147982062780269,99994.425,9147.472062780269,9066.8,2266.7,2419.4,0,4,4,0.06736665637270045
average,2,2025-07-03,2025-08-01,31,30,TITAN,63.065,0.1091137159911761,103764.04479453422,11322.08051380648,11036.099999999999,3678.7,3316.0,2,3,1,-0.09859461222714538
average,2,2025-07-03,2025-08-01,31,30,EICHERMOT,62.785,0.10862926597171159,103764.04479453422,11271.812020286054,5716.0,5716.0,5528.0,2,1,-1,-0.032890132960112006
average,2,2025-07-03,2025-08-01,31,30,APOLLOHOSP,58.05,0.10043687010683854,103764.04479453422,10421.735888788808,7565.0,7565.0,7351.5,1,1,0,-0.028222075346992725
average,2,2025-07-03,2025-08-01,31,30,TATASTEEL,57.364999999999995,0.09925169773779144,103764.04479453422,10298.757609997761,10286.42,165.91,153.01,59,62,3,-0.07775299861370621
average,2,2025-07-03,2025-08-01,31,30,SBIN,57.245000000000005,0.0990440763008781,103764.04479453422,10277.213969917579,9685.2,807.1,794.0,11,12,1,-0.016230950315946013
average,2,2025-07-03,2025-08-01,31,30,JSWSTEEL,57.129999999999995,0.09884510575716944,103764.04479453422,10256.567981507402,9414.9,1046.1,1027.8,9,9,0,-0.017493547462001713
average,2,2025-07-03,2025-08-01,31,30,GRASIM,56.79,0.09825684501924825,103764.04479453422,10195.527667946883,8452.8,2817.6,2722.2,3,3,0,-0.03385860306643951
average,2,2025-07-03,2025-08-01,31,30,ASIANPAINT,55.905,0.09672563692201222,103764.04479453422,10036.643322355529,9723.6,2430.9,2431.0,4,4,0,4.113702743846481e-05
