strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
fundamental,1,2025-06-02,2025-07-02,31,31,ADANIPORTS,76,0.11968503937007874,99993.65,11967.743937007874,11744.0,1468.0,1443.9,0,8,8,-0.01641689373296995
fundamental,1,2025-06-02,2025-07-02,31,31,EICHERMOT,76,0.11968503937007874,99993.65,11967.743937007874,10722.0,5361.0,5722.5,0,2,2,0.06743144935646339
fundamental,1,2025-06-02,2025-07-02,31,31,TITAN,67,0.10551181102362205,99993.65,10550.511102362205,7051.0,3525.5,3708.0,0,2,2,0.05176570699191596
fundamental,1,2025-06-02,2025-07-02,31,31,SHRIRAMFIN,66,0.10393700787401575,99993.65,10393.040787401575,10280.8,642.55,676.9,0,16,16,0.053458874795735856
fundamental,1,2025-06-02,2025-07-02,31,31,APOLLOHOSP,65,0.10236220472440945,99993.65,10235.570472440944,6915.5,6915.5,7441.0,0,1,1,0.0759887209890826
fundamental,1,2025-06-02,2025-07-02,31,31,HINDALCO,63,0.09921259842519685,99993.65,9920.629842519684,9466.5,631.1,698.35,0,15,15,0.10655997464744105
fundamental,1,2025-06-02,2025-07-02,31,31,GRASIM,60,0.09448818897637795,99993.65,9448.218897637795,7572.299999999999,2524.1,2849.8,0,3,3,0.12903609207242206
fundamental,1,2025-06-02,2025-07-02,31,31,SBIN,57,0.08976377952755905,99993.65,8975.807952755906,8950.15,813.65,812.9,0,11,11,-0.0009217722608001466
fundamental,1,2025-06-02,2025-07-02,31,31,JSWSTEEL,53,0.08346456692913386,99993.65,8345.926692913385,7830.4,978.8,1059.9,0,8,8,0.08285655905190037
fundamental,1,2025-06-02,2025-07-02,31,31,ASIANPAINT,52,0.08188976377952756,99993.65,8188.456377952755,6800.099999999999,2266.7,2419.4,0,3,3,0.06736665637270045
fundamental,2,2025-07-03,2025-08-01,31,30,EICHERMOT,72,0.11009174311926606,103592.86939238982,11404.71956613466,5716.0,5716.0,5528.0,2,1,-1,-0.032890132960112006
fundamental,2,2025-07-03,2025-08-01,31,30,TITAN,72,0.11009174311926606,103592.86939238982,11404.71956613466,11036.099999999999,3678.7,3316.0,2,3,1,-0.09859461222714538
fundamental,2,2025-07-03,2025-08-01,31,30,ADANIPORTS,69,0.10550458715596331,103592.86939238982,10929.522917545715,10017.699999999999,1431.1,1347.1,8,7,-1,-0.05869610788903645
fundamental,2,2025-07-03,2025-08-01,31,30,GRASIM,67,0.10244648318042814,103592.86939238982,10612.725151819754,8452.8,2817.6,2722.2,3,3,0,-0.03385860306643951
fundamental,2,2025-07-03,2025-08-01,31,30,SHRIRAMFIN,67,0.10244648318042814,103592.86939238982,10612.725151819754,10131.0,675.4,614.2,16,15,-1,-0.09061297009179736
fundamental,2,2025-07-03,2025-08-01,31,30,APOLLOHOSP,66,0.10091743119266056,103592.86939238982,10454.326268956773,7565.0,7565.0,7351.5,1,1,0,-0.028222075346992725
fundamental,2,2025-07-03,2025-08-01,31,30,JSWSTEEL,64,0.09785932721712538,103592.86939238982,10137.52850323081,9414.9,1046.1,1027.8,8,9,1,-0.017493547462001713
fundamental,2,2025-07-03,2025-08-01,31,30,SBIN,60,0.09174311926605505,103592.86939238982,9503.932971778884,8878.1,807.1,794.0,11,11,0,-0.016230950315946013
fundamental,2,2025-07-03,2025-08-01,31,30,ASIANPAINT,59,0.09021406727828746,103592.86939238982,9345.534088915902,7292.700000000001,2430.9,2431.0,3,3,0,4.113702743846481e-05
fundamental,2,2025-07-03,2025-08-01,31,30,HINDALCO,58,0.08868501529051988,103592.86939238982,9187.13520605292,9007.050000000001,692.85,672.45,15,13,-2,-0.029443602511366018
fundamental,3,2025-08-04,2025-09-03,31,31,EICHERMOT,72,0.11009174311926606,101796.79260619824,11206.98634196678,5621.0,5621.0,6371.5,1,1,0,0.133517167763743
fundamental,3,2025-08-04,2025-09-03,31,31,TITAN,72,0.11009174311926606,101796.79260619824,11206.98634196678,10068.900000000001,3356.3,3690.6,3,3,0,0.0996037302982451
fundamental,3,2025-08-04,2025-09-03,31,31,ADANIPORTS,69,0.10550458715596331,101796.79260619824,10740.028577718163,9722.300000000001,1388.9,1332.4,7,7,0,-0.04067967456260346
fundamental,3,2025-08-04,2025-09-03,31,31,GRASIM,67,0.10244648318042814,101796.79260619824,10428.72340155242,8363.400000000001,2787.8,2781.4,3,3,0,-0.0022957170528732362
fundamental,3,2025-08-04,2025-09-03,31,31,SHRIRAMFIN,67,0.10244648318042814,101796.79260619824,10428.72340155242,9998.4,624.9,586.3,15,16,1,-0.06176988318130905
fundamental,3,2025-08-04,2025-09-03,31,31,APOLLOHOSP,66,0.10091743119266056,101796.79260619824,10273.070813469549,7308.0,7308.0,7736.0,1,1,0,0.05856595511767915
fundamental,3,2025-08-04,2025-09-03,31,31,JSWSTEEL,64,0.09785932721712538,101796.79260619824,9961.765637303804,9503.1,1055.9,1072.2,9,9,0,0.015437067904157553
fundamental,3,2025-08-04,2025-09-03,31,31,SBIN,60,0.09174311926605505,101796.79260619824,9339.155284972316,8752.7,795.7,812.15,11,11,0,0.02067362071132317
fundamental,3,2025-08-04,2025-09-03,31,31,ASIANPAINT,59,0.09021406727828746,101796.79260619824,9183.502696889444,7349.400000000001,2449.8,2553.9,3,3,0,0.04249326475630655
fundamental,3,2025-08-04,2025-09-03,31,31,HINDALCO,58,0.08868501529051988,101796.79260619824,9027.850108806571,8940.1,687.7,742.95,13,13,0,0.08034026465028354
fundamental,4,2025-09-04,2025-10-03,31,30,EICHERMOT,72,0.11009174311926606,104340.44594928913,11487.021572398804,6425.0,6425.0,6941.0,1,1,0,0.08031128404669263
fundamental,4,2025-09-04,2025-10-03,31,30,TITAN,72,0.11009174311926606,104340.44594928913,11487.021572398804,11073.3,3691.1,3453.3,3,3,0,-0.06442523908861852
fundamental,4,2025-09-04,2025-10-03,31,30,ADANIPORTS,69,0.10550458715596331,104340.44594928913,11008.395673548854,10625.6,1328.2,1419.1,7,8,1,0.06843848817949083
fundamental,4,2025-09-04,2025-10-03,31,30,GRASIM,67,0.10244648318042814,104340.44594928913,10689.31174098222,8429.400000000001,2809.8,2791.4,3,3,0,-0.006548508790661267
fundamental,4,2025-09-04,2025-10-03,31,30,SHRIRAMFIN,67,0.10244648318042814,104340.44594928913,10689.31174098222,10544.4,585.8,645.8,16,18,2,0.10242403550699897
