strategy,rebalance_block,start_date,end_date,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
mvo,1,2025-06-02,2025-07-11,INDIGO,75.0,0.1,99990.0,9999.0,5333.0,5333.0,5917.5,0,1,1,0.10960060003750227
mvo,1,2025-06-02,2025-07-11,SUNPHARMA,75.0,0.1,99990.0,9999.0,8373.0,1674.6,1672.0,0,5,5,-0.0015526095784067495
mvo,1,2025-06-02,2025-07-11,NTPC,75.0,0.1,99990.0,9999.0,9976.5,332.55,342.7,0,30,30,0.030521726056232046
mvo,1,2025-06-02,2025-07-11,BAJAJ-AUTO,75.0,0.1,99990.0,9999.0,8513.5,8513.5,8067.0,0,1,1,-0.05244611499383334
mvo,1,2025-06-02,2025-07-11,ONGC,75.0,0.1,99990.0,9999.0,9770.710000000001,238.31,241.76,0,41,41,0.014476941798497789
mvo,1,2025-06-02,2025-07-11,RELIANCE,75.0,0.1,99990.0,9999.0,9895.9,1413.7,1495.2,0,7,7,0.05765013793591289
mvo,1,2025-06-02,2025-07-11,BEL,75.0,0.1,99990.0,9999.0,9687.5,387.5,409.3,0,25,25,0.056258064516129025
mvo,1,2025-06-02,2025-07-11,BHARTIARTL,75.0,0.1,99990.0,9999.0,9270.5,1854.1,1921.9,0,5,5,0.03656760692519301
mvo,1,2025-06-02,2025-07-11,JSWSTEEL,74.0,0.1,99990.0,9999.0,9788.0,978.8,1037.2,0,10,10,0.059664895790764394
mvo,1,2025-06-02,2025-07-11,HINDALCO,74.0,0.1,99990.0,9999.0,9466.5,631.1,670.95,0,15,15,0.06314371731896684
mvo,2,2025-07-14,2025-08-25,ULTRACEMCO,68.72,0.19999999999999915,103441.75769620501,20688.351539240914,12516.0,12516.0,12606.0,0,1,1,0.007190795781399917
mvo,2,2025-07-14,2025-08-25,JIOFIN,72.555,0.11063342976140515,103441.75769620501,11444.116434479387,11168.5,319.1,319.7,0,35,35,0.0018802883108741675
mvo,2,2025-07-14,2025-08-25,GRASIM,66.16499999999999,0.1842487340539109,103441.75769620501,19059.012903837167,16706.4,2784.4,2811.4,0,6,6,0.009696882631805792
mvo,2,2025-07-14,2025-08-25,ASIANPAINT,68.36,0.19999999999999993,103441.75769620501,20688.351539240994,19212.8,2401.6,2492.9,0,8,8,0.03801632245169895
mvo,2,2025-07-14,2025-08-25,INDIGO,71.41499999999999,0.01999999999999999,103441.75769620501,2068.835153924099,0.0,5940.5,6116.0,1,0,-1,0.02954296776365628
mvo,2,2025-07-14,2025-08-25,KOTAKBANK,66.035,0.01999999999999999,103441.75769620501,2068.835153924099,0.0,2203.8,1983.3,0,0,0,-0.10005445140212366
mvo,2,2025-07-14,2025-08-25,HINDALCO,69.215,0.01999999999999999,103441.75769620501,2068.835153924099,1999.5,666.5,715.85,15,3,-12,0.07404351087771954
mvo,2,2025-07-14,2025-08-25,ETERNAL,63.95,0.089470983247914,103441.75769620501,9255.035769971937,9200.400000000001,270.6,319.25,0,34,34,0.17978566149297848
mvo,2,2025-07-14,2025-08-25,EICHERMOT,65.71000000000001,0.13564685293677067,103441.75769620501,14031.548893738187,11081.0,5540.5,5990.5,0,2,2,0.08122010648858402
mvo,2,2025-07-14,2025-08-25,RELIANCE,74.36,0.02000000000000011,103441.75769620501,2068.8351539241116,1483.7,1483.7,1412.6,7,1,-6,-0.047920738693806086
mvo,3,2025-08-26,2025-10-08,ETERNAL,62.79,0.20000000000000007,107772.23759618391,21554.44751923679,21299.3,317.9,341.65,34,67,33,0.07470902799622525
mvo,3,2025-08-26,2025-10-08,EICHERMOT,76.975,0.19999999999999757,107772.23759618391,21554.44751923652,18453.0,6151.0,6902.5,2,3,1,0.12217525605592594
mvo,3,2025-08-26,2025-10-08,ULTRACEMCO,75.06,0.020000000000000427,107772.23759618391,2155.444751923724,0.0,12610.0,11991.0,1,0,-1,-0.04908802537668522
mvo,3,2025-08-26,2025-10-08,MARUTI,76.95,0.1604552921475658,107772.23759618391,17292.625868892563,14714.0,14714.0,16012.0,0,1,1,0.0882153051515564
mvo,3,2025-08-26,2025-10-08,HINDALCO,76.23,0.020000000000000576,107772.23759618391,2155.4447519237406,2117.1000000000004,705.7,768.2,3,3,0,0.08856454584100892
mvo,3,2025-08-26,2025-10-08,M&M,72.945,0.02000000000000125,107772.23759618391,2155.444751923813,0.0,3330.8,3426.5,0,0,0,0.028731836195508453
mvo,3,2025-08-26,2025-10-08,INDIGO,73.96000000000001,0.09445745885943892,107772.23759618391,10179.891698931218,6050.0,6050.0,5635.0,0,1,1,-0.06859504132231409
mvo,3,2025-08-26,2025-10-08,ASIANPAINT,63.71,0.19138972460881412,107772.23759618391,20626.49887400932,19851.2,2481.4,2328.5,8,8,0,-0.061618441202547
mvo,3,2025-08-26,2025-10-08,GRASIM,64.47,0.020000000000000025,107772.23759618391,2155.444751923681,0.0,2796.2,2778.2,6,0,-6,-0.006437307774837309
mvo,3,2025-08-26,2025-10-08,APOLLOHOSP,74.775,0.07369752438418133,107772.23759618391,7942.547108182547,7793.5,7793.5,7662.0,0,1,1,-0.01687303522165906
mvo,4,2025-10-09,2025-11-21,EICHERMOT,71.375,0.1999999999999908,111987.94487466726,22397.58897493242,20689.5,6896.5,7134.5,3,3,0,0.034510258826941254
mvo,4,2025-10-09,2025-11-21,MARUTI,71.96000000000001,0.19999999999999868,111987.94487466726,22397.588974933304,15985.0,15985.0,15977.0,1,1,0,-0.0005004691898654601
mvo,4,2025-10-09,2025-11-21,ETERNAL,60.71,0.19999999999999754,111987.94487466726,22397.588974933176,22112.0,345.5,301.95,67,64,-3,-0.1260492040520984
mvo,4,2025-10-09,2025-11-21,HINDALCO,73.08,0.15472307716985068,111987.94487466726,17327.119436936126,17030.2,774.1,777.7,3,22,19,0.004650561942901366
mvo,4,2025-10-09,2025-11-21,JSWSTEEL,74.845,0.01999999999999987,111987.94487466726,2239.7588974933306,1175.2,1175.2,1140.3,0,1,1,-0.02969707283866585
mvo,4,2025-10-09,2025-11-21,GRASIM,64.05,0.01999999999999987,111987.94487466726,2239.7588974933306,0.0,2810.6,2734.8,0,0,0,-0.026969330392087043
mvo,4,2025-10-09,2025-11-21,M&M,65.94,0.01999999999999987,111987.94487466726,2239.7588974933306,0.0,3442.9,3749.6,0,0,0,0.08908187864881345
mvo,4,2025-10-09,2025-11-21,APOLLOHOSP,73.895,0.020000000000001072,111987.94487466726,2239.758897493465,0.0,7695.0,7391.0,1,0,-1,-0.03950617283950619
mvo,4,2025-10-09,2025-11-21,ULTRACEMCO,74.155,0.01999999999999987,111987.94487466726,2239.7588974933306,0.0,12192.0,11729.0,0,0,0,-0.03797572178477693
mvo,4,2025-10-09,2025-11-21,SBIN,71.96000000000001,0.14527692283016183,111987.94487466726,16269.264025465453,15517.800000000001,862.1,972.6,0,18,18,0.1281753856861152
mvo,5,2025-11-24,2026-01-05,EICHERMOT,74.33500000000001,0.1999999999999992,112040.5443206046,22408.108864120833,21775.5,7258.5,7482.5,3,3,0,0.030860370599986142
mvo,5,2025-11-24,2026-01-05,MARUTI,73.83,0.14496489038181584,112040.5443206046,16241.945225755426,15958.0,15958.0,17155.0,1,1,0,0.07500939967414455
mvo,5,2025-11-24,2026-01-05,SBIN,72.25,0.1999999999999992,112040.5443206046,22408.108864120833,22323.8,970.6,1005.55,18,23,5,0.036008654440552235
mvo,5,2025-11-24,2026-01-05,ASIANPAINT,66.405,0.19453375614571905,112040.5443206046,21795.667927298124,20154.399999999998,2879.2,2815.6,0,7,7,-0.02208946929702693
mvo,5,2025-11-24,2026-01-05,HINDALCO,64.36,0.05546449236132446,112040.5443206046,6214.271914628809,6197.2,774.65,931.7,22,8,-14,0.20273671980894603
mvo,5,2025-11-24,2026-01-05,M&M,71.57,0.01999999999999992,112040.5443206046,2240.810886412083,0.0,3690.8,3790.3,0,0,0,0.026958924894331826
mvo,5,2025-11-24,2026-01-05,SHRIRAMFIN,74.625,0.03542721843628315,112040.5443206046,3969.284837366123,3312.8,828.2,1003.35,0,4,4,0.21148273363921755
mvo,5,2025-11-24,2026-01-05,JSWSTEEL,67.475,0.01999999999999992,112040.5443206046,2240.810886412083,2212.0,1106.0,1185.9,1,2,1,0.07224231464737807
