trade_number,entry_date,exit_date,holding_calendar_days,entry_close,exit_close,strike,moneyness,trailing_vol_30d,risk_free_rate,dividend_yield,call_premium,call_premium_pct,call_payoff,call_payoff_pct,index_return,buy_write_return,strategy_value,strategy_cumulative_return,benchmark_value,benchmark_cumulative_return,option_model,source
1,2024-07-24,2024-08-23,30,24413.5,24823.15,24400.0,-0.0005529727404919305,0.18,0.065,0.012,562.8092631832187,0.02305319856567959,423.15000000000146,0.017332623343641898,0.016779650603149898,0.02250022582518765,102250.02258251877,0.022500225825187625,101677.965060315,0.016779650603149898,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
2,2024-08-26,2024-09-25,30,25010.6,26004.15,25000.0,-0.0004238203001926122,0.14915162878386798,0.065,0.012,487.4135676446858,0.019488279675205146,1004.1500000000015,0.04014897683382252,0.039725156533629846,0.01906445937501249,104199.3639841373,0.04199363984137294,105717.13813835695,0.057171381383569475,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
3,2024-09-26,2024-10-28,32,26216.05,24339.15,26200.0,-0.0006122203764487022,0.09608761925290868,0.065,0.012,370.18820381648584,0.014120670498282,0.0,0.0,-0.07159354670135276,-0.05747287620307071,98210.72683743827,-0.01789273162561733,98148.47327191514,-0.018515267280848624,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
4,2024-10-29,2024-11-28,30,24466.85,23914.15,24450.0,-0.0006886869376319105,0.1200601382602164,0.065,0.012,399.87021234914937,0.01634334670581417,0.0,0.0,-0.022589748986894365,-0.006246402281080226,97597.26312929436,-0.024027368707056462,95931.32389725566,-0.0406867610274434,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
5,2024-11-29,2024-12-30,31,24131.1,23644.9,24150.0,0.0007832216517273949,0.1441396264133034,0.065,0.012,449.51772268219975,0.01862814884867245,0.0,0.0,-0.02014827338994063,-0.0015201245412682118,97448.9031344509,-0.025510968655490962,93998.4733567148,-0.06001526643285193,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
6,2024-12-31,2025-01-30,30,23644.8,23249.5,23650.0,0.0002199215049398795,0.13487689662284993,0.065,0.012,414.44710595276047,0.01752804447289723,0.0,0.0,-0.01671826363513329,0.0008097808377639564,97527.81538887031,-0.024721846111296908,92426.9820978372,-0.07573017902162804,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
7,2025-01-31,2025-03-03,31,23508.4,22119.3,23500.0,-0.0003573190859438302,0.1331037096011439,0.065,0.012,422.27571636518405,0.017962758689029624,0.0,0.0,-0.059089516938626296,-0.041126758249596655,93516.81250276095,-0.06483187497239051,86965.51637358093,-0.1303448362641907,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
8,2025-03-04,2025-04-03,30,22082.65,23250.1,22100.0,0.0007856846891109992,0.11199397888008358,0.065,0.012,323.124010650683,0.014632483449707483,1150.0999999999985,0.05208161158194322,0.052867296271054354,0.015418168138818552,94958.6704417349,-0.05041329558265106,91563.14809306826,-0.08436851906931742,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
9,2025-04-04,2025-05-05,31,22904.45,24461.15,22900.0,-0.00019428538995702738,0.13051228831941644,0.065,0.012,402.59165123352795,0.0175770058322085,1561.1500000000015,0.06815924416434367,0.06796495877438669,0.017382720442251493,96609.31046359145,-0.03390689536408553,97786.23367846671,-0.022137663215332837,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
10,2025-05-06,2025-06-05,30,24379.6,24750.9,24400.0,0.0008367651643177432,0.18244293000545908,0.065,0.012,551.2019919553422,0.02260914830248824,350.90000000000146,0.014393181184268876,0.015229946348586543,0.023445913466806006,98874.4039968086,-0.01125596003191398,99275.5127710201,-0.007244872289798976,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
11,2025-06-06,2025-07-07,31,25003.05,25461.3,25000.0,-0.00012198511781558175,0.15917665659838037,0.065,0.012,521.0345962524316,0.02083884151143287,461.2999999999993,0.018449749130606038,0.01832776401279035,0.020716856393617273,100922.77082541499,0.009227708254149869,101095.01094133612,0.010950109413361275,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
12,2025-07-08,2025-08-07,30,25522.5,24596.15,25500.0,-0.0008815750808111034,0.09048560301326454,0.065,0.012,335.1298409323499,0.013130760737872461,0.0,0.0,-0.03629542560485843,-0.02316466486698594,98584.92866179663,-0.014150713382033664,97425.7244926925,-0.025742755073074997,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
13,2025-08-08,2025-09-08,31,24363.3,24773.15,24350.0,-0.0005459030591093983,0.07338504246523615,0.065,0.012,274.14004881836263,0.011252172276266459,423.15000000000146,0.01736833680166486,0.016822433742555543,0.010706269217157092,99640.40544880406,-0.0035959455119594086,99064.66228779129,-0.009353377122087059,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
14,2025-09-09,2025-10-09,30,24868.6,25181.8,24850.0,-0.0007479311259981358,0.09079073837267643,0.065,0.012,325.4945768703237,0.013088576633599146,331.7999999999993,0.01334212621538805,0.01259419508938997,0.012340645507600959,100870.03237068138,0.008700323706813728,100312.30197110826,0.003123019711082531,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
15,2025-10-10,2025-11-10,31,25285.35,25574.35,25300.0,0.0005793868781724942,0.07216350156648389,0.065,0.012,264.6158086815012,0.010465182751336297,274.34999999999854,0.010850156315811273,0.011429543193983926,0.011044569629508894,101984.0984667302,0.019840984667301997,101458.825759375,0.014588257593749931,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
16,2025-11-11,2025-12-11,30,25694.95,25898.55,25700.0,0.00019653667354857518,0.07963478593012542,0.065,0.012,290.4497294475368,0.011303767061136014,198.54999999999927,0.007727199313483749,0.007923735987032332,0.011500303734684678,103156.94657520557,0.03156946575205577,102262.7587082466,0.02262758708246615,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
17,2025-12-12,2026-01-12,31,26046.95,25790.25,26050.0,0.00011709624351419201,0.07841780578419018,0.065,0.012,297.9659950372188,0.0114395733487882,0.0,0.0,-0.009855280560679858,0.0015842927881083231,103320.37738170793,0.033203773817079396,101254.93053026772,0.012549305302677283,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
18,2026-01-13,2026-02-12,30,25732.3,25807.2,25750.0,0.0006878514551751369,0.07825267845371162,0.065,0.012,279.7818847523049,0.010872789636072364,57.20000000000073,0.002222887188475213,0.0029107386436502125,0.011560641091247407,104514.8271820301,0.04514827182030112,101549.6571694223,0.015496571694223027,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
19,2026-02-13,2026-03-16,31,25471.1,23408.8,25450.0,-0.0008283898221905783,0.13496046346156323,0.065,0.012,469.4557949269165,0.018430919549093542,0.0,0.0,-0.08096627157837699,-0.0625353520292835,97978.95567192211,-0.02021044328077881,93327.56004835178,-0.06672439951648224,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
20,2026-03-17,2026-04-16,30,23581.15,24196.75,23600.0,0.0007993672912474103,0.17405550409110243,0.065,0.012,511.1059284739822,0.021674342789642666,596.75,0.025306229764027622,0.026105597055275043,0.022473710080890063,100180.90631572127,0.0018090631572127425,95763.93172512604,-0.04236068274873961,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
