trade_number,entry_date,exit_date,holding_calendar_days,entry_close,exit_close,strike,moneyness,trailing_vol_30d,risk_free_rate,dividend_yield,call_premium,call_premium_pct,call_payoff,call_payoff_pct,index_return,buy_write_return,strategy_value,strategy_cumulative_return,benchmark_value,benchmark_cumulative_return,option_model,source
1,2024-07-03,2024-08-02,30,24286.5,24717.7,24300.0,0.0005558643690939391,0.18,0.065,0.012,545.8626806183966,0.02247597144991648,417.7000000000007,0.01719885533115108,0.017754719700245003,0.02303183581901042,102303.18358190104,0.02303183581901047,101775.4719700245,0.017754719700245003,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
2,2024-08-05,2024-09-04,30,24055.6,25198.7,24050.0,-0.0002327940271703577,0.13238978958501268,0.065,0.012,420.69679697934225,0.017488518140447225,1148.7000000000007,0.047751874823326,0.04751908079615563,0.0172557241132769,104068.49909370024,0.0406849909370024,106611.74884563497,0.06611748845634957,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
3,2024-09-05,2024-10-07,32,25145.1,24795.75,25150.0,0.00019486898043763468,0.13092051291481693,0.065,0.012,445.90881437268763,0.017733427760187378,0.0,0.0,-0.013893362921602925,0.0038400648385844196,104468.1288778742,0.044681288778742,105130.55312721578,0.051305531272157756,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
4,2024-10-08,2024-11-07,30,25013.15,24199.35,25000.0,-0.0005257234694551194,0.12556522907653112,0.065,0.012,422.1090898453531,0.016875487087606042,0.0,0.0,-0.03253488664962245,-0.015659399562016372,102832.22070627935,0.028322207062793536,101710.1424978097,0.01710142497809697,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
5,2024-11-08,2024-12-09,31,24148.2,24619.0,24150.0,7.45397172459139e-05,0.12279476696008781,0.065,0.012,399.5267422039851,0.016544783553390525,469.0,0.019421737437987096,0.019496277155233166,0.0166193232706365,104541.22262483444,0.04541222624834429,103693.11162544526,0.036931116254452556,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
6,2024-12-10,2025-01-09,30,24610.05,23526.5,24600.0,-0.0004083697513820317,0.1403432362506652,0.065,0.012,454.8627369717742,0.01848280425971399,0.0,0.0,-0.04402876060796301,-0.02554595634824899,101870.61711506784,0.018706171150678408,99127.63243699375,-0.008723675630062488,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
7,2025-01-10,2025-02-10,31,23431.5,23381.6,23450.0,0.0007895354544096289,0.1252169246258912,0.065,0.012,385.2464551855319,0.01644139108403354,0.0,0.0,-0.0021296118472996506,0.014311779236733902,103328.56689792855,0.03328566897928553,98916.52905656116,-0.010834709434388357,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
8,2025-02-11,2025-03-13,30,23071.8,22397.2,23050.0,-0.0009448764292339096,0.13862863737251513,0.065,0.012,428.6346232581236,0.01857829138854028,0.0,0.0,-0.029239157759689216,-0.010660866371148976,102226.99485390741,0.022269948539074047,96024.29305843549,-0.03975706941564505,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
9,2025-03-17,2025-04-16,30,22508.75,23437.2,22500.0,-0.00038873771311154215,0.10521709933352937,0.065,0.012,326.5083626699525,0.014505841624699393,937.2000000000007,0.04163714111178989,0.04124840339867841,0.014117103911587827,103670.14396282939,0.036701439628293864,99985.14183458276,-0.00014858165417241942,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
10,2025-04-17,2025-05-19,32,23851.65,24945.45,23850.0,-6.917760406521811e-05,0.18240834160004327,0.065,0.012,570.1153036867672,0.02390255196964433,1095.4500000000007,0.045927640226147905,0.04585846262208282,0.02383337436557914,106140.95331442899,0.061409533144289874,104570.30672416762,0.045703067241676276,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
11,2025-05-20,2025-06-19,30,24683.9,24793.25,24700.0,0.0006522470112095835,0.21486166851353417,0.065,0.012,651.4579504394424,0.02639201870204637,93.25,0.003777766074242725,0.004430013085452433,0.027044265713256042,109011.45745892273,0.09011457458922734,105033.55455130545,0.050335545513054525,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
12,2025-06-20,2025-07-21,31,25112.4,25090.7,25100.0,-0.0004937799652762198,0.158908516793793,0.065,0.012,527.4783452667398,0.021004696694331873,0.0,0.0,-0.0008641149392332181,0.020140581755098638,111207.01163011661,0.11207011630116614,104942.79348769691,0.04942793487696906,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
13,2025-07-22,2025-08-21,30,25060.9,25083.75,25050.0,-0.0004349404849786076,0.08949078315407524,0.065,0.012,319.9123200484082,0.012765396296557914,33.75,0.0013467193915621546,0.0009117789065835602,0.012330455811579263,112578.24477295956,0.12578244772959568,105038.47811319695,0.050384781131969536,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
14,2025-08-22,2025-09-22,31,24870.1,25202.35,24850.0,-0.0008081994041037044,0.09062709621193307,0.065,0.012,332.1248732750537,0.013354384311886711,352.34999999999854,0.014167614927161473,0.01335941552305786,0.012546184907783047,113990.67224847477,0.13990672248474767,106441.73078822077,0.06441730788220768,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
15,2025-09-23,2025-10-23,30,25169.5,25891.4,25150.0,-0.0007747472138898148,0.08148987249337021,0.065,0.012,303.71123074339266,0.012066637427974043,741.4000000000015,0.02945628637835481,0.02868153916446503,0.011291890214084216,115277.8424049342,0.15277842404934194,109494.64345855656,0.09494643458556551,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
16,2025-10-24,2025-11-24,31,25795.15,25959.5,25800.0,0.00018801984093896884,0.07757853072571069,0.065,0.012,291.58255311645553,0.01130377427991136,159.5,0.006183332913357743,0.0063713527542967885,0.011491794120850395,116602.59163654753,0.16602591636547537,110192.27245673697,0.10192272456736973,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
17,2025-11-25,2025-12-26,31,25884.8,26042.3,25900.0,0.0005872172085548133,0.07494182430192915,0.065,0.012,278.97236769000483,0.010777458882819448,142.29999999999927,0.005497434787983654,0.006084651996538515,0.011364676091374303,117927.74232191169,0.179277423219117,110862.75408734397,0.10862754087343962,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
18,2025-12-29,2026-01-28,30,25942.1,25342.75,25950.0,0.00030452430605087955,0.07831783118804321,0.065,0.012,287.83023599579064,0.011095101630006463,0.0,0.0,-0.02310337251032102,-0.012008270880314543,116511.63404780625,0.16511634047806245,108301.45058214395,0.08301450582143954,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
19,2026-01-29,2026-03-02,32,25418.9,24865.7,25400.0,-0.0007435412232630334,0.0873681451598461,0.065,0.012,335.2483997129857,0.013188942075108902,0.0,0.0,-0.02176333358249183,-0.008574391507382893,115512.61768231542,0.15512617682315422,105944.449985657,0.059444499856569966,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
20,2026-03-04,2026-04-06,33,24480.5,22968.25,24500.0,0.0007965523579991363,0.15157251839793479,0.065,0.012,494.15599957216364,0.02018569880403438,0.0,0.0,-0.06177365658381162,-0.041587957779777224,110708.68381511174,0.10708683815111741,99399.87391528222,-0.006001260847177781,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
21,2026-04-07,2026-05-07,30,23123.65,24326.65,23100.0,-0.0010227624099137245,0.2275658305286951,0.065,0.012,663.5410134821759,0.02869534063533118,1226.6500000000015,0.05304742114674808,0.05202465873683426,0.02767257822541746,113772.27852821843,0.1377227852821843,104571.11843420913,0.045711184342091205,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
22,2026-05-08,2026-06-08,31,24176.15,23123.0,24200.0,0.0009865094318159962,0.21509876725669985,0.065,0.012,646.1509012058705,0.026726790709268037,0.0,0.0,-0.04356152654579004,-0.016834735836521984,111856.95227367668,0.11856952273676691,100015.84088261437,0.00015840882614370777,black_scholes_atm_call_trailing_30d_realized_vol,official_nse_nifty50_index_close_with_modelled_option_premium
