strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
technical,1,2026-06-18,2026-07-02,31,15,SUNPHARMA,66.45,0.131506036018207,99994.947,13149.9391018207,12773.6,1824.8,1871.0,0,7,7,0.025317843051293254
technical,1,2026-06-18,2026-07-02,31,15,DRREDDY,58.75,0.11626756382347121,99994.947,11626.168882347121,11407.5,1267.5,1345.7,0,9,9,0.06169625246548338
technical,1,2026-06-18,2026-07-02,31,15,SHRIRAMFIN,54.9,0.1086483277261033,99994.947,10864.28377261033,10027.0,1002.7,1066.7,0,10,10,0.06382766530368
technical,1,2026-06-18,2026-07-02,31,15,ICICIBANK,54.1,0.10706510983574116,99994.947,10705.969983574116,9396.1,1342.3,1400.0,0,7,7,0.04298591969008414
technical,1,2026-06-18,2026-07-02,31,15,APOLLOHOSP,54.0,0.10686720759944589,99994.947,10686.18075994459,8411.5,8411.5,8696.0,0,1,1,0.03382274267372054
technical,1,2026-06-18,2026-07-02,31,15,BAJAJFINSV,49.1,0.09716999802097764,99994.947,9716.508802097764,8858.5,1771.7,1855.7,0,5,5,0.04741209008297109
technical,1,2026-06-18,2026-07-02,31,15,CIPLA,48.65,0.09627943795764893,99994.947,9627.457295764892,9488.5,1355.5,1456.0,0,7,7,0.07414238288454444
technical,1,2026-06-18,2026-07-02,31,15,INDIGO,40.75,0.08064516129032259,99994.947,8064.108629032259,5011.8,5011.8,5444.0,0,1,1,0.0862364819027095
technical,1,2026-06-18,2026-07-02,31,15,BAJFINANCE,40.6,0.08034830793587969,99994.947,8034.424793587968,7670.8,958.85,1018.4,0,8,8,0.062105647390102714
technical,1,2026-06-18,2026-07-02,31,15,ETERNAL,38.0,0.07520284979220265,99994.947,7519.904979220265,7497.950000000001,258.55,279.7,0,29,29,0.08180235931154511
