TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,14027.01,14348.0,14027.01,14150.0,14150.0,14026.66,,14150.0,,,34,481451.02,15,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,14051.0,14130.0,14051.0,14125.0,14125.0,14031.0,,14125.0,,,135,1901144.86,23,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,14050.73,14302.27,14050.73,14222.59,14300.0,14050.73,,14222.59,,,778,10988810.76,107,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,14090.0,14144.0,14090.0,14113.33,14140.0,14067.31,,14117.14,,,33,465175.5,9,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,14056.0,14265.0,14056.0,14094.54,14100.0,14035.0,,14094.54,,,73,1028427.33,20,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,14067.0,14179.0,14067.0,14165.75,14179.0,14060.5,,14165.75,,,172,2425470.43,25,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,14036.0,14240.0,14036.0,14181.24,14200.0,14030.71,,14205.23,,,99,1397815.56,43,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,5960,IN0020180249,SGBOCT26,GB,,,,,2.50%GOLDBONDS2026SR-II,14100.0,14100.0,14100.0,14100.0,14100.0,14200.0,,14100.0,,,9,126900.0,1,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,14098.05,14099.9,13975.01,14099.9,14099.9,14098.05,,14099.9,,,50,702096.15,9,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,14299.0,14299.0,14100.0,14100.0,14100.0,13999.9,,14100.0,,,6,85595.0,3,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,14149.99,14200.01,14100.0,14150.31,14150.0,14049.21,,14150.31,,,284,4023389.79,26,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,14020.01,14112.7,14015.0,14061.0,14060.01,13925.0,,14061.0,,,146,2050588.77,11,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8308,IN0020180462,SGBJAN27,GB,,,,,2.50%GOLDBONDS2027SR-V,14060.0,14100.0,14060.0,14099.0,14099.0,14050.0,,14099.0,,,116,1632244.04,16,F1,1,,,,,
