symbol,pulled_on,from_date,to_date,pulled_at,broadCastDate,filingDate,toDate,period,requested_period,format,xbrl,seqNumber,companyName,resultDescription,resultDetailedDataLink,source,sales,expenses,operating_profit,opm,other_income,interest,depreciation,profit_before_tax,tax,net_profit,eps_in_rs,raw_pdf,dividend_payout,revenue,financing_profit,financing_margin,gross_npa,net_npa
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2015-03-31,2015-03-31,2015-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20150331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,64465.0,52015.0,12450.0,19.0,792.0,7056.0,3522.0,2663.0,14.0,2298.0,15.81,,8.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2016-03-31,2016-03-31,2016-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20160331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,34008.0,32325.0,1684.0,5.0,1044.0,1357.0,314.0,1056.0,7.0,1000.0,8.21,,4.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2017-03-31,2017-03-31,2017-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20170331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,36533.0,34631.0,1902.0,5.0,749.0,1257.0,315.0,1079.0,25.0,925.0,8.02,,4.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2018-03-31,2018-03-31,2018-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20180331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,35924.0,33886.0,2038.0,6.0,363.0,1250.0,664.0,487.0,23.0,594.0,6.15,,6.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2019-03-31,2019-03-31,2019-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20190331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,40379.0,38409.0,1969.0,5.0,504.0,1625.0,390.0,459.0,32.0,506.0,5.82,,6.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2020-03-31,2020-03-31,2020-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20200331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,43403.0,41108.0,2294.0,5.0,872.0,1572.0,472.0,1122.0,29.0,1040.0,9.24,,10.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2021-03-31,2021-03-31,2021-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20210331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,39537.0,37031.0,2506.0,6.0,494.0,1377.0,537.0,1086.0,31.0,1046.0,7.49,,12.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2022-03-31,2022-03-31,2022-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20220331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,69420.0,65707.0,3714.0,5.0,1012.0,2526.0,1248.0,952.0,50.0,788.0,6.3,,14.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2023-03-31,2023-03-31,2023-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20230331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,127540.0,118722.0,8818.0,7.0,834.0,3969.0,2436.0,3247.0,32.0,2422.0,19.3,,6.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2024-03-31,2024-03-31,2024-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20240331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,96421.0,85044.0,11377.0,12.0,1146.0,4555.0,3042.0,4926.0,33.0,3335.0,25.37,,5.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2025-03-31,2025-03-31,2025-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20250331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,97895.0,83643.0,14252.0,15.0,6403.0,5978.0,4211.0,10466.0,28.0,8005.0,55.02,,2.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2026-03-31,2026-03-31,2026-03-31,Annual,Annual,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Annual_20260331,,screener annual financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,100469.0,86478.0,13991.0,14.0,11688.0,6019.0,6135.0,13525.0,28.0,9951.0,72.31,,2.0,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2023-03-31,2023-03-31,2023-03-31,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20230331,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,28944.0,25337.0,3607.0,12.0,-15.0,1525.0,895.0,1172.0,38.0,781.0,5.66,,,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2023-06-30,2023-06-30,2023-06-30,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20230630,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,22644.0,20119.0,2525.0,11.0,370.0,1103.0,714.0,1079.0,33.0,677.0,5.28,,,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2023-09-30,2023-09-30,2023-09-30,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20230930,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,19546.0,17116.0,2430.0,12.0,461.0,1343.0,757.0,791.0,50.0,333.0,1.78,,,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2023-12-31,2023-12-31,2023-12-31,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20231231,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,25050.0,21824.0,3226.0,13.0,491.0,597.0,760.0,2361.0,19.0,1973.0,14.79,,,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2024-03-31,2024-03-31,2024-03-31,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20240331,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,29180.0,25985.0,3195.0,11.0,-176.0,1513.0,811.0,696.0,62.0,352.0,3.53,,,,,,,
ADANIENT,2026-07-07,2018-01-01,2026-07-07,2026-07-07T20:56:38,2024-06-30,2024-06-30,2024-06-30,Quarterly,Quarterly,screener,https://www.screener.in/company/ADANIENT/consolidated/,screener_ADANIENT_Quarterly_20240630,,screener quarterly financial table,https://www.screener.in/company/ADANIENT/consolidated/,screener,25472.0,21767.0,3706.0,15.0,591.0,1130.0,934.0,2232.0,26.0,1772.0,11.39,,,,,,,
