score_date,symbol,fundamental_score,computed_score,previous_score,score_changed,score_source,growth_score,profitability_score,efficiency_score,shareholder_return_score,shareholding_quality_score,freshness_score,quarterly_recency_score,annual_recency_score,disclosure_score,filing_consistency_score,shareholding_recency_score,promoter_score,shareholding_trend_score,latest_revenue,latest_net_profit,latest_eps,latest_margin,latest_net_margin,latest_interest_to_revenue,latest_expense_ratio,latest_gross_npa,latest_net_npa,latest_dividend_payout,quarterly_revenue_yoy_pct,quarterly_revenue_qoq_pct,quarterly_profit_yoy_pct,quarterly_profit_qoq_pct,quarterly_eps_yoy_pct,annual_revenue_3y_cagr_pct,annual_profit_3y_cagr_pct,margin_yoy_change_pct,expense_ratio_yoy_change_pct,positive_profit_quarters,positive_revenue_quarters,quarterly_recency_days,annual_recency_days,shareholding_recency_days,formal_latest_quarter_end,formal_latest_annual_end,announcement_latest_quarter_end,announcement_latest_annual_end,latest_quarter_end,latest_annual_end,latest_quarter_filing_dt,latest_annual_filing_dt,latest_result_announcement_dt,result_freshness_source,latest_quarter_has_xbrl,latest_annual_has_xbrl,latest_quarter_xbrl,latest_annual_xbrl,latest_financial_format_new,quarterly_filing_count,annual_filing_count,quarterly_period_count,annual_period_count,latest_shareholding_date,latest_shareholding_submission_dt,latest_shareholding_record_id,latest_shareholding_xbrl,latest_promoter_holding,latest_public_holding,promoter_holding_qoq_change,public_holding_qoq_change,previous_score_file
2025-07-23,ADANIENT,50,50,50,False,carried_forward,7.37,10.98,9.15,0.29,12.01,10.0,30,20,13,10,15,10,3.01,21961.0,976.0,5.68,15.0,4.444242065479714,4.712900141159328,84.92782660170302,,,2.0,-13.783762562814072,-18.56040940443522,-44.92099322799097,-75.69115815691158,-50.13169446883232,12.139504759203579,116.57668714088048,0.0,-0.5267902324678317,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/ADANIENT/consolidated/,https://www.screener.in/company/ADANIENT/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_ADANIENT_shareholding_20250630,https://www.screener.in/company/ADANIENT/consolidated/,73.97,7.44,0.0,-0.009999999999999787,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,ADANIPORTS,69,69,69,False,carried_forward,20.79,16.5,7.43,2.0,12.48,10.0,30,20,13,10,15,10,3.48,9126.0,3311.0,15.34,60.0,36.28095551172474,9.270216962524655,39.78742055665133,,,14.0,20.714285714285708,7.516493873704055,6.565819118120375,9.526959973536231,6.4538514920194245,21.19604307178051,30.709961914854624,-3.0,2.4858332550640228,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/ADANIPORTS/consolidated/,https://www.screener.in/company/ADANIPORTS/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_ADANIPORTS_shareholding_20250630,https://www.screener.in/company/ADANIPORTS/consolidated/,65.89,5.46,0.0,-0.4800000000000004,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,APOLLOHOSP,66,66,66,False,carried_forward,20.87,13.02,9.86,1.86,10.4,10.0,30,20,13,10,15,8,2.8,5842.0,441.0,30.1,15.0,7.5487846627867174,1.8486819582334817,85.41595344060254,,,13.0,14.864333464412116,4.470672389127328,39.556962025316466,6.521739130434789,41.780499293452664,14.12252464717405,10.747070371372104,2.0,-1.2926584351347827,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/APOLLOHOSP/consolidated/,https://www.screener.in/company/APOLLOHOSP/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_APOLLOHOSP_shareholding_20250630,https://www.screener.in/company/APOLLOHOSP/consolidated/,29.34,5.61,0.0,0.20000000000000018,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,ASIANPAINT,59,59,59,False,carried_forward,7.4,14.22,9.24,5.0,13.0,10.0,30,20,13,10,15,10,4.0,8939.0,1117.0,11.47,18.0,12.495804899876942,0.4922250811052691,81.82123280008949,,,65.0,-0.3455964325529526,6.938629022610354,-5.897219882055604,59.3437945791726,-5.983606557377041,5.225956360066086,6.342348473856907,-1.0,0.7064055983057642,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/ASIANPAINT/consolidated/,https://www.screener.in/company/ASIANPAINT/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_ASIANPAINT_shareholding_20250630,https://www.screener.in/company/ASIANPAINT/consolidated/,52.63,14.41,0.0,-5.100000000000001,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,AXISBANK,47,47,47,False,carried_forward,15.2,9.0,3.9,0.14,8.67,10.0,30,20,13,10,15,5,3.17,32348.0,6279.0,20.13,0.0,19.410782737727217,56.383702238160005,43.22678372696921,,,1.0,3.8159119355563487,-0.3204733144336225,-2.9070666460491723,-16.380343587694767,-3.360537686029763,22.76296195683456,25.66163334846705,-6.0,5.0612456801769525,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/AXISBANK/consolidated/,https://www.screener.in/company/AXISBANK/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_AXISBANK_shareholding_20250630,https://www.screener.in/company/AXISBANK/consolidated/,8.17,6.8,-0.009999999999999787,-0.1900000000000004,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,BAJAJ-AUTO,70,70,70,False,carried_forward,16.33,17.1,9.89,5.0,11.81,10.0,30,20,13,10,15,10,2.81,13133.0,2210.0,79.15,21.0,16.827838270006854,1.7056270463717356,78.73296276555243,,,80.0,10.06537043245055,3.851020085402501,13.80020597322349,22.64150943396226,13.803019410496065,15.443598997246433,5.909447604419338,1.0,-1.4044827590872018,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_BAJAJ-AUTO_shareholding_20250630,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,55.04,22.53,0.00999999999999801,0.21000000000000085,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,BAJAJFINSV,70,70,70,False,carried_forward,22.79,19.0,7.34,0.29,10.11,10.0,30,20,13,10,15,10,1.11,35439.0,5329.0,17.46,40.0,15.037106013149353,19.207652586133918,59.60664804311634,,,2.0,12.576238881829727,-3.1589014892744904,26.60964599667379,12.047939444911693,30.395817774458543,25.067491741894642,28.29852835496862,2.0,-2.829819555358881,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/BAJAJFINSV/consolidated/,https://www.screener.in/company/BAJAJFINSV/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_BAJAJFINSV_shareholding_20250630,https://www.screener.in/company/BAJAJFINSV/consolidated/,58.81,22.6,-1.8299999999999983,-0.10999999999999943,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,BAJFINANCE,76,76,76,False,carried_forward,23.58,18.0,9.48,3.0,11.92,10.0,30,20,13,10,15,10,2.92,19524.0,4765.0,7.56,34.0,24.405859455029706,35.43331284572833,30.69043228846548,1.03,0.5,21.0,21.267080745341605,6.723515906854716,21.804703476482622,4.817421909370867,19.620253164556956,30.13161624047229,33.65281400329654,0.0,-0.09217640718669529,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/BAJFINANCE/consolidated/,https://www.screener.in/company/BAJFINANCE/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_BAJFINANCE_shareholding_20250630,https://www.screener.in/company/BAJFINANCE/consolidated/,54.73,8.92,0.0,0.08000000000000007,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,BEL,78,78,78,False,carried_forward,19.61,20.0,11.0,4.71,12.73,10.0,30,20,13,10,15,10,3.73,4440.0,969.0,1.33,28.0,21.824324324324323,0.02252252252252252,72.0945945945946,,,33.0,4.618284637134784,-51.47540983606558,22.503160556257896,-54.442877291960514,23.148148148148138,15.646151891877945,30.411255149889804,6.0,-5.544425198053844,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/BEL/consolidated/,https://www.screener.in/company/BEL/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_BEL_shareholding_20250630,https://www.screener.in/company/BEL/consolidated/,51.14,9.7,0.0,-0.7300000000000004,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
2025-07-23,BHARTIARTL,77,77,77,False,carried_forward,23.91,20.0,9.43,4.0,10.01,10.0,30,20,13,10,15,10,1.01,49463.0,7422.0,10.43,56.0,15.0051553686594,11.040575783919293,43.71752623172876,,,28.0,28.455305666649355,3.3148132676079856,57.31242051716829,-40.50977877524847,42.68125854993161,14.069389090490759,65.25597756495338,5.0,-5.103436735081601,4,4,23,114,23,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,2025-03-31,2025-06-30,financial_results,1,1,https://www.screener.in/company/BHARTIARTL/consolidated/,https://www.screener.in/company/BHARTIARTL/consolidated/,0,10,11,10,11,2025-06-30,2025-06-30,screener_BHARTIARTL_shareholding_20250630,https://www.screener.in/company/BHARTIARTL/consolidated/,51.26,2.74,-1.1600000000000037,-0.009999999999999787,data_cache/nse_equity/fundamentals/fundamental_scores_by_day/screener_fundamental_scores_20250722.csv
