symbol,source,url,pulled_on,pulled_at,table_count,html_bytes,error
ADANIENT,screener,https://www.screener.in/company/ADANIENT/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,208598.0,
ADANIPORTS,screener,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,231515.0,
APOLLOHOSP,screener,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,224461.0,
ASIANPAINT,screener,https://www.screener.in/company/ASIANPAINT/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,227375.0,
AXISBANK,screener,https://www.screener.in/company/AXISBANK/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,239201.0,
AXISBANK,screener,https://www.screener.in/company/AXISBANK/,2026-06-28,2026-06-28T22:06:30,12.0,239875.0,
BAJAJ-AUTO,screener,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,206926.0,
BAJAJFINSV,screener,https://www.screener.in/company/BAJAJFINSV/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,229774.0,
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,233869.0,
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/,2026-06-28,2026-06-28T22:06:30,12.0,233770.0,
BEL,screener,https://www.screener.in/company/BEL/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,205409.0,
BHARTIARTL,screener,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,219819.0,
CIPLA,screener,https://www.screener.in/company/CIPLA/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,243630.0,
COALINDIA,screener,https://www.screener.in/company/COALINDIA/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,218349.0,
DRREDDY,screener,https://www.screener.in/company/DRREDDY/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,215104.0,
EICHERMOT,screener,https://www.screener.in/company/EICHERMOT/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,233155.0,
ETERNAL,screener,https://www.screener.in/company/ETERNAL/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,185328.0,
GRASIM,screener,https://www.screener.in/company/GRASIM/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,231397.0,
HCLTECH,screener,https://www.screener.in/company/HCLTECH/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,233579.0,
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,213677.0,
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/,2026-06-28,2026-06-28T22:06:30,12.0,214153.0,
HDFCLIFE,screener,https://www.screener.in/company/HDFCLIFE/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,201429.0,
HINDALCO,screener,https://www.screener.in/company/HINDALCO/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,257655.0,
HINDUNILVR,screener,https://www.screener.in/company/HINDUNILVR/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,241652.0,
ICICIBANK,screener,https://www.screener.in/company/ICICIBANK/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,232900.0,
ICICIBANK,screener,https://www.screener.in/company/ICICIBANK/,2026-06-28,2026-06-28T22:06:30,12.0,232772.0,
INDIGO,screener,https://www.screener.in/company/INDIGO/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,226020.0,
INFY,screener,https://www.screener.in/company/INFY/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,228106.0,
ITC,screener,https://www.screener.in/company/ITC/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,201663.0,
JIOFIN,screener,https://www.screener.in/company/JIOFIN/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,144356.0,
JSWSTEEL,screener,https://www.screener.in/company/JSWSTEEL/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,230217.0,
KOTAKBANK,screener,https://www.screener.in/company/KOTAKBANK/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,236888.0,
KOTAKBANK,screener,https://www.screener.in/company/KOTAKBANK/,2026-06-28,2026-06-28T22:06:30,12.0,236894.0,
LT,screener,https://www.screener.in/company/LT/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,238295.0,
M&M,screener,https://www.screener.in/company/M%26M/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,267624.0,
MARUTI,screener,https://www.screener.in/company/MARUTI/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,228432.0,
MAXHEALTH,screener,https://www.screener.in/company/MAXHEALTH/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,200647.0,
NESTLEIND,screener,https://www.screener.in/company/NESTLEIND/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,148819.0,
NTPC,screener,https://www.screener.in/company/NTPC/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,206880.0,
ONGC,screener,https://www.screener.in/company/ONGC/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,196726.0,
POWERGRID,screener,https://www.screener.in/company/POWERGRID/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,212603.0,
RELIANCE,screener,https://www.screener.in/company/RELIANCE/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,222163.0,
SBILIFE,screener,https://www.screener.in/company/SBILIFE/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,117273.0,
SBILIFE,screener,https://www.screener.in/company/SBILIFE/,2026-06-28,2026-06-28T22:06:30,12.0,199537.0,
SBIN,screener,https://www.screener.in/company/SBIN/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,219606.0,
SBIN,screener,https://www.screener.in/company/SBIN/,2026-06-28,2026-06-28T22:06:30,12.0,219512.0,
SHRIRAMFIN,screener,https://www.screener.in/company/SHRIRAMFIN/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,229940.0,
SHRIRAMFIN,screener,https://www.screener.in/company/SHRIRAMFIN/,2026-06-28,2026-06-28T22:06:30,12.0,230029.0,
SUNPHARMA,screener,https://www.screener.in/company/SUNPHARMA/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,219778.0,
TATACONSUM,screener,https://www.screener.in/company/TATACONSUM/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,238936.0,
TATASTEEL,screener,https://www.screener.in/company/TATASTEEL/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,232164.0,
TCS,screener,https://www.screener.in/company/TCS/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,233809.0,
TECHM,screener,https://www.screener.in/company/TECHM/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,213189.0,
TITAN,screener,https://www.screener.in/company/TITAN/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,238145.0,
TMPV,screener,https://www.screener.in/company/TMPV/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,229307.0,
TRENT,screener,https://www.screener.in/company/TRENT/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,188635.0,
ULTRACEMCO,screener,https://www.screener.in/company/ULTRACEMCO/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,230330.0,
WIPRO,screener,https://www.screener.in/company/WIPRO/consolidated/,2026-06-28,2026-06-28T22:06:30,12.0,221000.0,
,screener,,,,,,AXISBANK: Screener did not return parseable financial tables.
,screener,,,,,,BAJFINANCE: Screener did not return parseable financial tables.
,screener,,,,,,HDFCBANK: Screener did not return parseable financial tables.
,screener,,,,,,ICICIBANK: Screener did not return parseable financial tables.
,screener,,,,,,KOTAKBANK: Screener did not return parseable financial tables.
,screener,,,,,,SBIN: Screener did not return parseable financial tables.
,screener,,,,,,SHRIRAMFIN: Screener did not return parseable financial tables.
