symbol,source,url,pulled_on,pulled_at,table_count,html_bytes
ADANIENT,screener,https://www.screener.in/company/ADANIENT/consolidated/,2026-07-03,2026-07-03T20:21:47,12,207457
ADANIPORTS,screener,https://www.screener.in/company/ADANIPORTS/consolidated/,2026-07-03,2026-07-03T20:21:47,12,230626
APOLLOHOSP,screener,https://www.screener.in/company/APOLLOHOSP/consolidated/,2026-07-03,2026-07-03T20:21:47,12,226030
ASIANPAINT,screener,https://www.screener.in/company/ASIANPAINT/consolidated/,2026-07-03,2026-07-03T20:21:47,12,228657
AXISBANK,screener,https://www.screener.in/company/AXISBANK/consolidated/,2026-07-03,2026-07-03T20:21:47,12,239801
BAJAJ-AUTO,screener,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,2026-07-03,2026-07-03T20:21:47,12,208700
BAJAJFINSV,screener,https://www.screener.in/company/BAJAJFINSV/consolidated/,2026-07-03,2026-07-03T20:21:47,12,227137
BAJFINANCE,screener,https://www.screener.in/company/BAJFINANCE/consolidated/,2026-07-03,2026-07-03T20:21:47,12,228700
BEL,screener,https://www.screener.in/company/BEL/consolidated/,2026-07-03,2026-07-03T20:21:47,12,209352
BHARTIARTL,screener,https://www.screener.in/company/BHARTIARTL/consolidated/,2026-07-03,2026-07-03T20:21:47,12,219654
CIPLA,screener,https://www.screener.in/company/CIPLA/consolidated/,2026-07-03,2026-07-03T20:21:47,12,243997
COALINDIA,screener,https://www.screener.in/company/COALINDIA/consolidated/,2026-07-03,2026-07-03T20:21:47,12,220719
DRREDDY,screener,https://www.screener.in/company/DRREDDY/consolidated/,2026-07-03,2026-07-03T20:21:47,12,215698
EICHERMOT,screener,https://www.screener.in/company/EICHERMOT/consolidated/,2026-07-03,2026-07-03T20:21:47,12,233127
ETERNAL,screener,https://www.screener.in/company/ETERNAL/consolidated/,2026-07-03,2026-07-03T20:21:47,12,186822
GRASIM,screener,https://www.screener.in/company/GRASIM/consolidated/,2026-07-03,2026-07-03T20:21:47,12,229056
HCLTECH,screener,https://www.screener.in/company/HCLTECH/consolidated/,2026-07-03,2026-07-03T20:21:47,12,235951
HDFCBANK,screener,https://www.screener.in/company/HDFCBANK/consolidated/,2026-07-03,2026-07-03T20:21:47,12,210740
