symbol,pulled_on,pulled_at,date,submissionDate,broadcastDate,recordId,xbrl,desc,pr_and_prgrp,public_val,source
ADANIENT,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_ADANIENT_shareholding_20230630,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,67.65,7.54,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_ADANIENT_shareholding_20230930,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,72.61,7.23,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_ADANIENT_shareholding_20231231,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,72.61,7.3,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_ADANIENT_shareholding_20240331,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,72.61,7.22,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_ADANIENT_shareholding_20240630,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,74.72,7.53,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_ADANIENT_shareholding_20240930,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,74.89,7.36,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_ADANIENT_shareholding_20241231,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,73.97,7.68,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2025-03-31,2025-03-31,2025-03-31,screener_ADANIENT_shareholding_20250331,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,73.97,7.45,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2025-06-30,2025-06-30,2025-06-30,screener_ADANIENT_shareholding_20250630,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,73.97,7.44,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_ADANIENT_shareholding_20250930,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,73.97,7.47,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_ADANIENT_shareholding_20251231,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,73.97,7.66,screener
ADANIENT,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_ADANIENT_shareholding_20260331,https://www.screener.in/company/ADANIENT/consolidated/,screener shareholding table,74.67,7.84,screener
ADANIPORTS,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_ADANIPORTS_shareholding_20230630,https://www.screener.in/company/ADANIPORTS/consolidated/,screener shareholding table,62.89,7.66,screener
