trade_date,index_name,open,high,low,close,points_change,change_pct,volume,turnover_rs_cr,pe,pb,div_yield,source
2025-06-02,NIFTY 50,24669.7,24754.4,24526.15,24716.6,-34.1,-0.14,311100908,25091.04,22.29,3.62,1.16,nse_index_close_archive
2025-06-03,NIFTY 50,24786.3,24845.1,24502.15,24542.5,-174.1,-0.7,349288937,28906.4,22.07,3.59,1.21,nse_index_close_archive
2025-06-04,NIFTY 50,24560.45,24644.25,24530.45,24620.2,77.7,0.32,280862575,21907.07,22.14,3.6,1.18,nse_index_close_archive
2025-06-05,NIFTY 50,24691.2,24899.85,24613.1,24750.9,130.7,0.53,388405978,30186.46,22.25,3.62,1.17,nse_index_close_archive
2025-06-06,NIFTY 50,24748.7,25029.5,24671.45,25003.05,252.15,1.02,335581057,30041.71,22.47,3.65,1.19,nse_index_close_archive
2025-06-09,NIFTY 50,25160.1,25160.1,25077.15,25103.2,100.15,0.4,279219989,25606.21,22.56,3.66,1.18,nse_index_close_archive
2025-06-10,NIFTY 50,25196.05,25199.3,25055.45,25104.25,1.05,0.0,307323471,28813.93,22.57,3.66,1.19,nse_index_close_archive
2025-06-11,NIFTY 50,25134.15,25222.4,25081.3,25141.4,37.15,0.15,301245273,25871.18,22.6,3.66,1.17,nse_index_close_archive
2025-06-12,NIFTY 50,25164.45,25196.2,24825.9,24888.2,-253.2,-1.01,328310748,29573.27,22.37,3.62,1.18,nse_index_close_archive
2025-06-13,NIFTY 50,24473.0,24754.35,24473.0,24718.6,-169.6,-0.68,318711364,24838.56,22.22,3.6,1.19,nse_index_close_archive
2025-06-16,NIFTY 50,24732.35,24967.1,24703.6,24946.5,227.9,0.92,305813047,23857.15,22.42,3.63,1.15,nse_index_close_archive
2025-06-17,NIFTY 50,24977.85,24982.05,24813.7,24853.4,-93.1,-0.37,242415740,21818.05,22.34,3.62,1.16,nse_index_close_archive
2025-06-18,NIFTY 50,24788.35,24947.55,24750.45,24812.05,-41.35,-0.17,237599011,22044.05,22.3,3.61,1.16,nse_index_close_archive
2025-06-19,NIFTY 50,24803.25,24863.1,24733.4,24793.25,-18.8,-0.08,274619935,23620.79,22.29,3.61,1.16,nse_index_close_archive
2025-06-20,NIFTY 50,24787.65,25136.2,24783.65,25112.4,319.15,1.29,574654035,55782.03,22.57,3.65,1.14,nse_index_close_archive
2025-06-23,NIFTY 50,24939.75,25057.0,24824.85,24971.9,-140.5,-0.56,248534153,20797.88,22.44,3.63,1.13,nse_index_close_archive
2025-06-24,NIFTY 50,25179.9,25317.7,24999.7,25044.35,72.45,0.29,450185468,35508.9,22.51,3.64,1.12,nse_index_close_archive
2025-06-25,NIFTY 50,25150.35,25266.8,25125.05,25244.75,200.4,0.8,260582584,22985.17,22.69,3.67,1.11,nse_index_close_archive
2025-06-26,NIFTY 50,25268.95,25565.3,25259.9,25549.0,304.25,1.21,428891818,38689.39,22.96,3.72,1.1,nse_index_close_archive
2025-06-27,NIFTY 50,25576.65,25654.2,25523.55,25637.8,88.8,0.35,563957748,47108.6,23.04,3.73,1.25,nse_index_close_archive
2025-06-30,NIFTY 50,25661.65,25669.35,25473.3,25517.05,-120.75,-0.47,270981274,24673.48,22.97,3.7,1.24,nse_index_close_archive
2025-07-01,NIFTY 50,25551.35,25593.4,25501.8,25541.8,24.75,0.1,260669106,23921.02,22.99,3.7,1.24,nse_index_close_archive
2025-07-02,NIFTY 50,25588.3,25608.1,25378.75,25453.4,-88.4,-0.35,309828013,26681.66,22.91,3.69,1.24,nse_index_close_archive
2025-07-03,NIFTY 50,25505.1,25587.5,25384.35,25405.3,-48.1,-0.19,293428797,24531.7,22.87,3.68,1.25,nse_index_close_archive
2025-07-04,NIFTY 50,25428.85,25470.25,25331.65,25461.0,55.7,0.22,193511595,19101.33,22.92,3.69,1.28,nse_index_close_archive
