symbol,trade_date,business_date,series,isin,instrument_name,open,high,low,close,last,previous_close,settlement_price,volume,turnover,trades
ADANIENT,2025-10-29,2025-10-29,EQ,INE423A01024,ADANI ENTERPRISES LIMITED,2500.0,2600.0,2495.5,2537.4,2553.5,2494.4,2537.2,1526734,3904026893.4,63774
ADANIPORTS,2025-10-29,2025-10-29,EQ,INE742F01042,ADANI PORT & SEZ LTD,1424.1,1464.8,1421.6,1454.8,1456.0,1417.9,1454.8,3578596,5194001102.4,88810
APOLLOHOSP,2025-10-29,2025-10-29,EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,7890.5,7905.0,7846.0,7858.5,7854.5,7880.5,7858.5,199897,1571942290.0,34671
ASIANPAINT,2025-10-29,2025-10-29,EQ,INE021A01026,ASIAN PAINTS LIMITED,2520.0,2550.8,2512.5,2538.7,2539.4,2509.3,2538.75,615292,1559722955.5,45365
AXISBANK,2025-10-29,2025-10-29,EQ,INE238A01034,AXIS BANK LIMITED,1246.9,1251.0,1239.2,1248.8,1249.0,1246.3,1248.8,4578825,5698756738.2,97433
BAJAJ-AUTO,2025-10-29,2025-10-29,EQ,INE917I01010,BAJAJ AUTO LIMITED,9090.0,9090.0,8960.0,9034.0,9034.5,9057.5,9034.0,226605,2047173967.5,27169
BAJAJFINSV,2025-10-29,2025-10-29,EQ,INE918I01026,BAJAJ FINSERV LTD.,2150.0,2150.0,2124.2,2137.0,2140.0,2140.2,2137.0,343434,732394948.0,25088
BAJFINANCE,2025-10-29,2025-10-29,EQ,INE296A01032,BAJAJ FINANCE LIMITED,1072.0,1079.15,1061.25,1062.95,1063.8,1072.75,1062.95,5386803,5737824903.25,115343
BEL,2025-10-29,2025-10-29,EQ,INE263A01024,BHARAT ELECTRONICS LTD,413.55,414.9,406.85,407.2,407.6,413.55,407.2,14498733,5928025123.95,171195
BHARTIARTL,2025-10-29,2025-10-29,EQ,INE397D01024,BHARTI AIRTEL LIMITED,2083.0,2110.4,2081.6,2100.6,2100.0,2090.2,2100.6,2742750,5755608868.0,137123
CIPLA,2025-10-29,2025-10-29,EQ,INE059A01026,CIPLA LTD,1575.0,1588.0,1571.7,1581.1,1580.0,1568.1,1581.1,898965,1419980644.6,42853
COALINDIA,2025-10-29,2025-10-29,EQ,INE522F01014,COAL INDIA LTD,393.25,399.3,380.05,382.0,382.95,391.4,382.0,26856509,10455123830.15,195510
DRREDDY,2025-10-29,2025-10-29,EQ,INE089A01031,DR. REDDY S LABORATORIES,1299.0,1301.5,1235.0,1250.9,1258.4,1289.4,1250.95,2574921,3262684530.9,74876
EICHERMOT,2025-10-29,2025-10-29,EQ,INE066A01021,EICHER MOTORS LTD,7007.5,7007.5,6889.0,6952.0,6978.5,7002.5,6952.05,343504,2393817640.5,39969
ETERNAL,2025-10-29,2025-10-29,EQ,INE758T01015,ETERNAL LIMITED,333.55,335.5,328.75,330.45,330.65,334.6,330.45,19679008,6509785895.8,118560
GRASIM,2025-10-29,2025-10-29,EQ,INE047A01021,GRASIM INDUSTRIES LTD,2945.9,2977.8,2940.0,2958.7,2958.0,2932.9,2958.7,711559,2105113159.2,48238
HCLTECH,2025-10-29,2025-10-29,EQ,INE860A01027,HCL TECHNOLOGIES LTD,1530.0,1559.0,1522.0,1557.3,1556.5,1522.1,1557.3,2596355,4023535238.6,71502
HDFCBANK,2025-10-29,2025-10-29,EQ,INE040A01034,HDFC BANK LTD,1004.9,1012.5,1000.0,1007.85,1008.5,1003.55,1007.85,17769445,17909676109.65,281715
HDFCLIFE,2025-10-29,2025-10-29,EQ,INE795G01014,HDFC LIFE INS CO LTD,750.2,763.4,749.0,761.3,760.45,747.0,761.3,2270288,1722394282.6,67019
HINDALCO,2025-10-29,2025-10-29,EQ,INE038A01020,HINDALCO  INDUSTRIES  LTD,854.0,858.85,849.55,856.25,857.85,848.95,856.25,5663683,4840144450.25,108237
HINDUNILVR,2025-10-29,2025-10-29,EQ,INE030A01027,HINDUSTAN UNILEVER LTD.,2512.6,2513.6,2484.0,2488.1,2490.0,2497.1,2488.2,1870143,4661569499.9,59711
ICICIBANK,2025-10-29,2025-10-29,EQ,INE090A01021,ICICI BANK LTD.,1364.6,1371.7,1358.4,1370.4,1371.6,1363.1,1370.4,16129382,22019031340.9,353776
INDIGO,2025-10-29,2025-10-29,EQ,INE646L01027,INTERGLOBE AVIATION LTD,5815.5,5839.5,5763.5,5813.0,5822.0,5809.0,5812.9,659529,3827432691.0,51454
INFY,2025-10-29,2025-10-29,EQ,INE009A01021,INFOSYS LIMITED,1500.2,1520.2,1496.9,1510.4,1511.5,1500.2,1510.4,4884976,7379112106.4,177757
ITC,2025-10-29,2025-10-29,EQ,INE154A01025,ITC LTD,418.2,422.2,416.05,421.6,421.85,417.9,421.6,11470661,4811576571.15,126826
JIOFIN,2025-10-29,2025-10-29,EQ,INE758E01017,JIO FIN SERVICES LTD,307.8,310.75,307.6,309.75,310.25,307.95,309.75,8605721,2663451607.95,69986
JSWSTEEL,2025-10-29,2025-10-29,EQ,INE019A01038,JSW STEEL LIMITED,1189.2,1223.9,1185.5,1207.9,1212.6,1184.2,1207.9,3819737,4628986599.7,87838
KOTAKBANK,2025-10-29,2025-10-29,EQ,INE237A01028,KOTAK MAHINDRA BANK LTD,2170.0,2174.3,2146.9,2150.5,2151.0,2160.8,2150.5,1417783,3055121134.4,74876
LT,2025-10-29,2025-10-29,EQ,INE018A01030,LARSEN & TOUBRO LTD.,3988.0,4016.7,3920.0,3958.1,3957.3,3972.8,3957.7,2563641,10153914748.7,131435
M&M,2025-10-29,2025-10-29,EQ,INE101A01026,MAHINDRA & MAHINDRA LTD,3580.0,3583.5,3522.1,3534.7,3539.5,3579.1,3534.7,2526473,8942852378.1,116799
MARUTI,2025-10-29,2025-10-29,EQ,INE585B01010,MARUTI SUZUKI INDIA LTD.,16360.0,16428.0,16046.0,16138.0,16140.0,16311.0,16138.1,232815,3783283107.0,39351
