score_date,symbol,technical_score,value_score_0_50,momentum_score_0_50,open,high,low,close,previous_close,volume,turnover,trades,return_21d_pct,return_63d_pct,return_126d_pct,return_252d_pct,sma_20,sma_50,sma_200,sma50_over_sma200_pct,close_vs_sma20_pct,volume_sma_20,volume_vs_sma20_pct,rolling_high_252,rolling_low_252,discount_to_252d_high_pct,premium_to_252d_low_pct,discount_to_sma200_pct,bollinger_upper_20_2,bollinger_lower_20_2,bollinger_pct_b,rsi_14,value_discount_high_rank,value_discount_sma200_rank,value_rsi_rank,value_bollinger_rank,momentum_21d_rank,momentum_63d_rank,momentum_126d_rank,momentum_trend_rank,value_discount_high_weight,value_discount_sma200_weight,value_rsi_weight,value_bollinger_weight,momentum_21d_weight,momentum_63d_weight,momentum_126d_weight,momentum_trend_weight,instrument_name,isin
2025-01-07,ADANIENT,50.0,25.0,25.0,2624.9,2645.0,2603.0,2621.8,2619.4,729197,1914151988.6,37539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI ENTERPRISES LIMITED,INE423A01024
2025-01-07,ADANIPORTS,50.0,25.0,25.0,1450.3,1459.8,1442.0,1447.0,1450.2,2134736,3093011727.3,64757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ADANI PORT & SEZ LTD,INE742F01042
2025-01-07,APOLLOHOSP,50.0,25.0,25.0,7475.0,7584.5,7404.5,7496.0,7242.0,1872535,14036106053.5,151563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,APOLLO HOSPITALS ENTER. L,INE437A01024
2025-01-07,ASIANPAINT,50.0,25.0,25.0,2380.5,2400.0,2350.2,2369.5,2341.1,1232160,2923027853.1,78111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,ASIAN PAINTS LIMITED,INE021A01026
2025-01-07,AXISBANK,50.0,25.0,25.0,1202.0,1202.0,1167.0,1173.3,1199.2,8702198,10227897228.5,267800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,AXIS BANK LIMITED,INE238A01034
2025-01-07,BAJAJ-AUTO,50.0,25.0,25.0,8370.0,8409.0,8300.0,8399.0,8376.0,363782,3041575479.0,40645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ AUTO LIMITED,INE917I01010
2025-01-07,BAJAJFINSV,50.0,25.0,25.0,2055.1,2068.5,2042.6,2053.8,2056.0,1002015,2059171670.9,57405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINSERV LTD.,INE918I01026
2025-01-07,BAJFINANCE,50.0,25.0,25.0,932.5,941.8,928.0,936.65,936.5,5381327,5030611131.55,129199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BAJAJ FINANCE LIMITED,INE296A01032
2025-01-07,BEL,50.0,25.0,25.0,424.8,436.0,424.1,432.25,421.5,35405785,15299693064.15,277929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARAT ELECTRONICS LTD,INE263A01024
2025-01-07,BHARTIARTL,50.0,25.0,25.0,2009.0,2030.8,2006.9,2019.4,2009.6,3769165,7607773613.0,134125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.25,0.2,0.15,0.35,0.35,0.2,0.1,BHARTI AIRTEL LIMITED,INE397D01024
